(-100, -100, 600, 600)
(-100, -100, 250, 250)
(250, -100, 600, 250)
(-100, 250, 250, 600)
(250, 250, 600, 600)
(-100, -100, 75, 75)
(75, -100, 250, 75)
(-100, 75, 75, 250)
(75, 75, 250, 250)
(-100, 250, 75, 425)
(75, 250, 250, 425)
(-100, 425, 75, 600)
(75, 425, 250, 600)
(250, 250, 425, 425)
(425, 250, 600, 425)
(250, 425, 425, 600)
(425, 425, 600, 600)
(250, -100, 425, 75)
(425, -100, 600, 75)
(250, 75, 425, 250)
(425, 75, 600, 250)
(-100, 75, -12.5, 162.5)
(-12.5, 75, 75, 162.5)
(-100, 162.5, -12.5, 250)
(-12.5, 162.5, 75, 250)
(-100, 250, -12.5, 337.5)
(-12.5, 250, 75, 337.5)
(-100, 337.5, -12.5, 425)
(-12.5, 337.5, 75, 425)
(250, 425, 337.5, 512.5)
(337.5, 425, 425, 512.5)
(250, 512.5, 337.5, 600)
(337.5, 512.5, 425, 600)
(250, -100, 337.5, -12.5)
(337.5, -100, 425, -12.5)
(250, -12.5, 337.5, 75)
(337.5, -12.5, 425, 75)
(75, -100, 162.5, -12.5)
(162.5, -100, 250, -12.5)
(75, -12.5, 162.5, 75)
(162.5, -12.5, 250, 75)
(75, 425, 162.5, 512.5)
(162.5, 425, 250, 512.5)
(75, 512.5, 162.5, 600)
(162.5, 512.5, 250, 600)
(-100, 425, -12.5, 512.5)
(-12.5, 425, 75, 512.5)
(-100, 512.5, -12.5, 600)
(-12.5, 512.5, 75, 600)
(425, 425, 512.5, 512.5)
(512.5, 425, 600, 512.5)
(425, 512.5, 512.5, 600)
(512.5, 512.5, 600, 600)
(425, -100, 512.5, -12.5)
(512.5, -100, 600, -12.5)
(425, -12.5, 512.5, 75)
(512.5, -12.5, 600, 75)
(-100, -100, -12.5, -12.5)
(-12.5, -100, 75, -12.5)
(-100, -12.5, -12.5, 75)
(-12.5, -12.5, 75, 75)
(-12.5, 425, 31.25, 468.75)
(31.25, 425, 75, 468.75)
(-12.5, 468.75, 31.25, 512.5)
(31.25, 468.75, 75, 512.5)
(-12.5, -12.5, 31.25, 31.25)
(31.25, -12.5, 75, 31.25)
(-12.5, 31.25, 31.25, 75)
(31.25, 31.25, 75, 75)
(-12.5, 468.75, 9.375, 490.625)
(9.375, 468.75, 31.25, 490.625)
(-12.5, 490.625, 9.375, 512.5)
(9.375, 490.625, 31.25, 512.5)
(-12.5, -12.5, 9.375, 9.375)
(9.375, -12.5, 31.25, 9.375)
(-12.5, 9.375, 9.375, 31.25)
(9.375, 9.375, 31.25, 31.25)
(31.25, 468.75, 53.125, 490.625)
(53.125, 468.75, 75, 490.625)
(31.25, 490.625, 53.125, 512.5)
(53.125, 490.625, 75, 512.5)
(31.25, -12.5, 53.125, 9.375)
(53.125, -12.5, 75, 9.375)
(31.25, 9.375, 53.125, 31.25)
(53.125, 9.375, 75, 31.25)
(-12.5, 31.25, 9.375, 53.125)
(9.375, 31.25, 31.25, 53.125)
(-12.5, 53.125, 9.375, 75)
(9.375, 53.125, 31.25, 75)
(-12.5, 425, 9.375, 446.875)
(9.375, 425, 31.25, 446.875)
(-12.5, 446.875, 9.375, 468.75)
(9.375, 446.875, 31.25, 468.75)
(75, 425, 118.75, 468.75)
(118.75, 425, 162.5, 468.75)
(75, 468.75, 118.75, 512.5)
(118.75, 468.75, 162.5, 512.5)
(337.5, -12.5, 381.25, 31.25)
(381.25, -12.5, 425, 31.25)
(337.5, 31.25, 381.25, 75)
(381.25, 31.25, 425, 75)
(250, -12.5, 293.75, 31.25)
(293.75, -12.5, 337.5, 31.25)
(250, 31.25, 293.75, 75)
(293.75, 31.25, 337.5, 75)
(75, -12.5, 118.75, 31.25)
(118.75, -12.5, 162.5, 31.25)
(75, 31.25, 118.75, 75)
(118.75, 31.25, 162.5, 75)
(-12.5, 162.5, 31.25, 206.25)
(31.25, 162.5, 75, 206.25)
(-12.5, 206.25, 31.25, 250)
(31.25, 206.25, 75, 250)
(-12.5, 337.5, 31.25, 381.25)
(31.25, 337.5, 75, 381.25)
(-12.5, 381.25, 31.25, 425)
(31.25, 381.25, 75, 425)
(337.5, 425, 381.25, 468.75)
(381.25, 425, 425, 468.75)
(337.5, 468.75, 381.25, 512.5)
(381.25, 468.75, 425, 512.5)
(250, 425, 293.75, 468.75)
(293.75, 425, 337.5, 468.75)
(250, 468.75, 293.75, 512.5)
(293.75, 468.75, 337.5, 512.5)
(-12.5, 250, 31.25, 293.75)
(31.25, 250, 75, 293.75)
(-12.5, 293.75, 31.25, 337.5)
(31.25, 293.75, 75, 337.5)
(425, -12.5, 468.75, 31.25)
(468.75, -12.5, 512.5, 31.25)
(425, 31.25, 468.75, 75)
(468.75, 31.25, 512.5, 75)
(425, 425, 468.75, 468.75)
(468.75, 425, 512.5, 468.75)
(425, 468.75, 468.75, 512.5)
(468.75, 468.75, 512.5, 512.5)
(-12.5, 75, 31.25, 118.75)
(31.25, 75, 75, 118.75)
(-12.5, 118.75, 31.25, 162.5)
(31.25, 118.75, 75, 162.5)
(162.5, -12.5, 206.25, 31.25)
(206.25, -12.5, 250, 31.25)
(162.5, 31.25, 206.25, 75)
(206.25, 31.25, 250, 75)
(162.5, 425, 206.25, 468.75)
(206.25, 425, 250, 468.75)
(162.5, 468.75, 206.25, 512.5)
(206.25, 468.75, 250, 512.5)
(9.375, 9.375, 20.3125, 20.3125)
(20.3125, 9.375, 31.25, 20.3125)
(9.375, 20.3125, 20.3125, 31.25)
(20.3125, 20.3125, 31.25, 31.25)
(9.375, 468.75, 20.3125, 479.6875)
(20.3125, 468.75, 31.25, 479.6875)
(9.375, 479.6875, 20.3125, 490.625)
(20.3125, 479.6875, 31.25, 490.625)
(9.375, 9.375, 14.84375, 14.84375)
(14.84375, 9.375, 20.3125, 14.84375)
(9.375, 14.84375, 14.84375, 20.3125)
(14.84375, 14.84375, 20.3125, 20.3125)
(9.375, 479.6875, 14.84375, 485.15625)
(14.84375, 479.6875, 20.3125, 485.15625)
(9.375, 485.15625, 14.84375, 490.625)
(14.84375, 485.15625, 20.3125, 490.625)
(-12.5, 75, 9.375, 96.875)
(9.375, 75, 31.25, 96.875)
(-12.5, 96.875, 9.375, 118.75)
(9.375, 96.875, 31.25, 118.75)
(-12.5, 381.25, 9.375, 403.125)
(9.375, 381.25, 31.25, 403.125)
(-12.5, 403.125, 9.375, 425)
(9.375, 403.125, 31.25, 425)
(75, 468.75, 96.875, 490.625)
(96.875, 468.75, 118.75, 490.625)
(75, 490.625, 96.875, 512.5)
(96.875, 490.625, 118.75, 512.5)
(75, -12.5, 96.875, 9.375)
(96.875, -12.5, 118.75, 9.375)
(75, 9.375, 96.875, 31.25)
(96.875, 9.375, 118.75, 31.25)
(206.25, 468.75, 228.125, 490.625)
(228.125, 468.75, 250, 490.625)
(206.25, 490.625, 228.125, 512.5)
(228.125, 490.625, 250, 512.5)
(-12.5, 118.75, 9.375, 140.625)
(9.375, 118.75, 31.25, 140.625)
(-12.5, 140.625, 9.375, 162.5)
(9.375, 140.625, 31.25, 162.5)
(162.5, 468.75, 184.375, 490.625)
(184.375, 468.75, 206.25, 490.625)
(162.5, 490.625, 184.375, 512.5)
(184.375, 490.625, 206.25, 512.5)
(162.5, -12.5, 184.375, 9.375)
(184.375, -12.5, 206.25, 9.375)
(162.5, 9.375, 184.375, 31.25)
(184.375, 9.375, 206.25, 31.25)
(206.25, -12.5, 228.125, 9.375)
(228.125, -12.5, 250, 9.375)
(206.25, 9.375, 228.125, 31.25)
(228.125, 9.375, 250, 31.25)
(-12.5, 293.75, 9.375, 315.625)
(9.375, 293.75, 31.25, 315.625)
(-12.5, 315.625, 9.375, 337.5)
(9.375, 315.625, 31.25, 337.5)
(425, 468.75, 446.875, 490.625)
(446.875, 468.75, 468.75, 490.625)
(425, 490.625, 446.875, 512.5)
(446.875, 490.625, 468.75, 512.5)
(468.75, 468.75, 490.625, 490.625)
(490.625, 468.75, 512.5, 490.625)
(468.75, 490.625, 490.625, 512.5)
(490.625, 490.625, 512.5, 512.5)
(425, -12.5, 446.875, 9.375)
(446.875, -12.5, 468.75, 9.375)
(425, 9.375, 446.875, 31.25)
(446.875, 9.375, 468.75, 31.25)
(468.75, -12.5, 490.625, 9.375)
(490.625, -12.5, 512.5, 9.375)
(468.75, 9.375, 490.625, 31.25)
(490.625, 9.375, 512.5, 31.25)
(337.5, 468.75, 359.375, 490.625)
(359.375, 468.75, 381.25, 490.625)
(337.5, 490.625, 359.375, 512.5)
(359.375, 490.625, 381.25, 512.5)
(250, 468.75, 271.875, 490.625)
(271.875, 468.75, 293.75, 490.625)
(250, 490.625, 271.875, 512.5)
(271.875, 490.625, 293.75, 512.5)
(293.75, 468.75, 315.625, 490.625)
(315.625, 468.75, 337.5, 490.625)
(293.75, 490.625, 315.625, 512.5)
(315.625, 490.625, 337.5, 512.5)
(-12.5, 250, 9.375, 271.875)
(9.375, 250, 31.25, 271.875)
(-12.5, 271.875, 9.375, 293.75)
(9.375, 271.875, 31.25, 293.75)
(381.25, 468.75, 403.125, 490.625)
(403.125, 468.75, 425, 490.625)
(381.25, 490.625, 403.125, 512.5)
(403.125, 490.625, 425, 512.5)
(-12.5, 206.25, 9.375, 228.125)
(9.375, 206.25, 31.25, 228.125)
(-12.5, 228.125, 9.375, 250)
(9.375, 228.125, 31.25, 250)
(-12.5, 337.5, 9.375, 359.375)
(9.375, 337.5, 31.25, 359.375)
(-12.5, 359.375, 9.375, 381.25)
(9.375, 359.375, 31.25, 381.25)
(118.75, -12.5, 140.625, 9.375)
(140.625, -12.5, 162.5, 9.375)
(118.75, 9.375, 140.625, 31.25)
(140.625, 9.375, 162.5, 31.25)
(-12.5, 162.5, 9.375, 184.375)
(9.375, 162.5, 31.25, 184.375)
(-12.5, 184.375, 9.375, 206.25)
(9.375, 184.375, 31.25, 206.25)
(250, -12.5, 271.875, 9.375)
(271.875, -12.5, 293.75, 9.375)
(250, 9.375, 271.875, 31.25)
(271.875, 9.375, 293.75, 31.25)
(293.75, -12.5, 315.625, 9.375)
(315.625, -12.5, 337.5, 9.375)
(293.75, 9.375, 315.625, 31.25)
(315.625, 9.375, 337.5, 31.25)
(118.75, 468.75, 140.625, 490.625)
(140.625, 468.75, 162.5, 490.625)
(118.75, 490.625, 140.625, 512.5)
(140.625, 490.625, 162.5, 512.5)
(381.25, -12.5, 403.125, 9.375)
(403.125, -12.5, 425, 9.375)
(381.25, 9.375, 403.125, 31.25)
(403.125, 9.375, 425, 31.25)
(337.5, -12.5, 359.375, 9.375)
(359.375, -12.5, 381.25, 9.375)
(337.5, 9.375, 359.375, 31.25)
(359.375, 9.375, 381.25, 31.25)
(20.3125, 9.375, 25.78125, 14.84375)
(25.78125, 9.375, 31.25, 14.84375)
(20.3125, 14.84375, 25.78125, 20.3125)
(25.78125, 14.84375, 31.25, 20.3125)
(20.3125, 479.6875, 25.78125, 485.15625)
(25.78125, 479.6875, 31.25, 485.15625)
(20.3125, 485.15625, 25.78125, 490.625)
(25.78125, 485.15625, 31.25, 490.625)
(9.375, 20.3125, 14.84375, 25.78125)
(14.84375, 20.3125, 20.3125, 25.78125)
(9.375, 25.78125, 14.84375, 31.25)
(14.84375, 25.78125, 20.3125, 31.25)
(9.375, 468.75, 14.84375, 474.21875)
(14.84375, 468.75, 20.3125, 474.21875)
(9.375, 474.21875, 14.84375, 479.6875)
(14.84375, 474.21875, 20.3125, 479.6875)
(14.84375, 14.84375, 17.578125, 17.578125)
(17.578125, 14.84375, 20.3125, 17.578125)
(14.84375, 17.578125, 17.578125, 20.3125)
(17.578125, 17.578125, 20.3125, 20.3125)
(14.84375, 479.6875, 17.578125, 482.421875)
(17.578125, 479.6875, 20.3125, 482.421875)
(14.84375, 482.421875, 17.578125, 485.15625)
(17.578125, 482.421875, 20.3125, 485.15625)
(14.84375, 14.84375, 16.2109375, 16.2109375)
(16.2109375, 14.84375, 17.578125, 16.2109375)
(14.84375, 16.2109375, 16.2109375, 17.578125)
(16.2109375, 16.2109375, 17.578125, 17.578125)
(17.578125, 14.84375, 18.9453125, 16.2109375)
(18.9453125, 14.84375, 20.3125, 16.2109375)
(17.578125, 16.2109375, 18.9453125, 17.578125)
(18.9453125, 16.2109375, 20.3125, 17.578125)
(14.84375, 482.421875, 16.2109375, 483.7890625)
(16.2109375, 482.421875, 17.578125, 483.7890625)
(14.84375, 483.7890625, 16.2109375, 485.15625)
(16.2109375, 483.7890625, 17.578125, 485.15625)
(17.578125, 482.421875, 18.9453125, 483.7890625)
(18.9453125, 482.421875, 20.3125, 483.7890625)
(17.578125, 483.7890625, 18.9453125, 485.15625)
(18.9453125, 483.7890625, 20.3125, 485.15625)
(14.84375, 17.578125, 16.2109375, 18.9453125)
(16.2109375, 17.578125, 17.578125, 18.9453125)
(14.84375, 18.9453125, 16.2109375, 20.3125)
(16.2109375, 18.9453125, 17.578125, 20.3125)
(14.84375, 479.6875, 16.2109375, 481.0546875)
(16.2109375, 479.6875, 17.578125, 481.0546875)
(14.84375, 481.0546875, 16.2109375, 482.421875)
(16.2109375, 481.0546875, 17.578125, 482.421875)
